mean_test_score,mean_train_score,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split
0.8536877482687346,0.8935337214262496,gini,20,10,15
0.8535011811045556,0.8935627517540656,gini,20,10,20
0.8499183533619696,0.8807977435909136,gini,20,15,5
0.8502169722496141,0.880793596450367,gini,20,15,10
0.8499930637963597,0.8807977435909136,gini,20,15,15
0.8502916826840042,0.8807894493098203,gini,20,15,20
0.8466339077289922,0.8732001270711933,gini,20,20,5
0.8466711515212294,0.8732001260392239,gini,20,20,10
0.8467458619556194,0.873225009742478,gini,20,20,15
0.8465592530070811,0.8732291568830245,gini,20,20,20
0.8463350102789524,0.9216101093953484,gini,30,5,5
0.8466336848790761,0.921547901427175,gini,30,5,10
0.8485372131503736,0.9146055293299289,gini,30,5,15
0.8462602998445622,0.90717793009308,gini,30,5,20
0.8524561960633562,0.8952050364380097,gini,30,10,5
0.8520456229490844,0.8952091830625717,gini,30,10,10
0.8526054637228192,0.8952216250001961,gini,30,10,15
0.8523815274133252,0.8951925946723802,gini,30,10,20
0.8494332230226249,0.8812000224157488,gini,30,15,5
0.849470508599221,0.8812000224157487,gini,30,15,10
0.8493958678054296,0.8811875809941089,gini,30,15,15
0.8494705643117001,0.8811709924319227,gini,30,15,20
0.8462980032647514,0.8733826041791563,gini,30,20,5
0.8465965803680365,0.8733826041791563,gini,30,20,10
0.8466712211618279,0.8733369847731695,gini,30,20,15
0.8467085485227835,0.8733328374606278,gini,30,20,20
0.8514112388783964,0.8649679811923461,entropy,10,5,5
0.8513739393736802,0.8650177468789053,entropy,10,5,10
0.8517098577660411,0.8645905895106625,entropy,10,5,15
0.8513364588034074,0.8639228914549119,entropy,10,5,20
0.8512245045767802,0.862960746420353,entropy,10,10,5
0.8510005961235256,0.8629317164365269,entropy,10,10,10
0.851037881700122,0.8629565991078116,entropy,10,10,15
0.8512618597939753,0.8629690408734412,entropy,10,10,20
0.8475293465483332,0.8602319057533553,entropy,10,15,5
0.8474920191873778,0.8602319057533553,entropy,10,15,10
0.8474546918264222,0.8602319057533553,entropy,10,15,15
0.8475293465483332,0.8602319057533553,entropy,10,15,20
