mean_test_score,mean_train_score,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split
0.8475293465483332,0.8602277586128089,entropy,10,15,20
0.8461110739694584,0.8584361770411822,entropy,10,20,5
0.8461857147632499,0.858432029556646,entropy,10,20,10
0.846148401330414,0.8584278822441045,entropy,10,20,15
0.846148401330414,0.8584278822441045,entropy,10,20,20
0.8580921818678166,0.8948110656538582,entropy,15,5,5
0.8580548684349807,0.894802771028775,entropy,15,5,10
0.8587267887884208,0.892559152857519,entropy,15,5,15
0.8571589839158072,0.8897722477510019,entropy,15,5,20
0.854061216871967,0.8850569150665342,entropy,15,10,5
0.8540984467360845,0.885048620441451,entropy,15,10,10
0.8537252984796064,0.8850444717529508,entropy,15,10,15
0.8537625840562029,0.885040326160358,entropy,15,10,20
0.8524562378477155,0.8779403678821879,entropy,15,15,5
0.8520830478068783,0.877936219537677,entropy,15,15,10
0.8523069423320129,0.8778740122574835,entropy,15,15,15
0.8521203055272351,0.8779403678821879,entropy,15,15,20
0.8482387196158067,0.8730674273454412,entropy,15,20,5
0.8480147972344325,0.8730508387832548,entropy,15,20,10
0.8479774420172375,0.8729969254401644,entropy,15,20,15
0.8479028151515658,0.873059133236343,entropy,15,20,20
