mean_test_score,mean_train_score,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split
0.8501418718278707,0.9161441325762952,gini,20,5,5
0.8502165544060215,0.9162353708722846,gini,20,5,10
0.8511497245017912,0.9105371498827504,gini,20,5,15
0.8537623751344062,0.8935254274891463,gini,20,10,5
0.8536131771155422,0.8935503103324258,gini,20,10,10
0.8533892129498086,0.8935171328640635,gini,20,10,15
0.8499930359401201,0.8808143321531,gini,20,15,5
0.8496944727649545,0.8808101850125534,gini,20,15,10
0.8497690717743867,0.8808184792936465,gini,20,15,15
0.8476786142077964,0.9216474329722881,gini,30,5,5
0.8458870958756052,0.9216598754258971,gini,30,5,10
0.8477159972812311,0.9145516149548694,gini,30,5,15
0.8519708985865744,0.8952008886094838,gini,30,10,5
0.8522321761851437,0.8952257714527632,gini,30,10,10
0.8519336687224571,0.8951677120010956,gini,30,10,15
0.8498437264962979,0.8811917281346556,gini,30,15,5
0.8493212827241173,0.8812000224157487,gini,30,15,10
0.8495825046102077,0.8811875809941089,gini,30,15,15
0.8465961903806833,0.9218382045333392,gini,40,5,5
0.8467455973213441,0.9217054939719096,gini,40,5,10
0.8479399614469644,0.9146511482199315,gini,40,5,15
0.8520828667413214,0.8952091832345666,gini,40,10,5
0.8525682060024625,0.8952174780316444,gini,40,10,10
0.8520829085256807,0.8952216251721911,gini,40,10,15
0.8500303911573154,0.8811958752752022,gini,40,15,5
0.8494705503835804,0.8812083166968419,gini,40,15,10
0.8493585265163544,0.8812124638373884,gini,40,15,15
0.8461856729788906,0.9218464996744069,gini,,5,5
0.8457377864317829,0.9218299107682306,gini,,5,10
0.8477906102187829,0.9147589747341172,gini,,5,15
0.8520082398756499,0.8952257723127375,gini,,10,5
0.8521948766804277,0.8951925953603597,gini,,10,10
0.8522322040413831,0.8952755378273018,gini,,10,15
0.8498810538572534,0.8811668452913759,gini,,15,5
0.8496571454039991,0.8812000224157487,gini,,15,10
0.849582476753968,0.8812124638373886,gini,,15,15
0.8537998557046793,0.9153686171220876,entropy,20,5,5
0.8537625840562028,0.9153229980600903,entropy,20,5,10
0.8548450635957948,0.9102095312834058,entropy,20,5,15
0.850739638871711,0.8950433062124468,entropy,20,10,5
0.8508515791702184,0.8950350129633229,entropy,20,10,10
0.8513368209345211,0.8950142767446053,entropy,20,10,15
0.8493956031711545,0.8837256648916153,entropy,20,15,5
0.8489477026959268,0.8837422551737506,entropy,20,15,10
0.8495074599009433,0.8837298137521106,entropy,20,15,15
0.8456631038536322,0.9266862494991853,entropy,30,5,5
0.846372156574351,0.9267484571233687,entropy,30,5,10
0.8481638977564584,0.9188522356486166,entropy,30,5,15
0.8484629205595763,0.8978260519667807,entropy,30,10,5
0.8483135414751551,0.8977638453745664,entropy,30,10,10
0.8482389285376032,0.8978260524827654,entropy,30,10,15
0.8485743733738922,0.8845592458173115,entropy,30,15,5
0.8486117007348476,0.8845758326595492,entropy,30,15,10
0.8485371017254154,0.8845716853470076,entropy,30,15,15
0.8449912809970307,0.9273912685519525,entropy,40,5,5
0.8448046024078932,0.9273663839887242,entropy,40,5,10
0.8480892012501882,0.9193664848602815,entropy,40,5,15
0.8475670917528817,0.8978965524960983,entropy,40,10,5
0.8477536589170608,0.8978426389810131,entropy,40,10,10
0.8480149643718697,0.8978633758877101,entropy,40,10,15
0.8486117425192068,0.8845385077066503,entropy,40,15,5
0.8482384689096512,0.8846090099559166,entropy,40,15,10
0.8483130679190832,0.8846421884562485,entropy,40,15,15
0.8451032352236577,0.9273332078963208,entropy,,5,5
0.8448046581203723,0.9273912675199834,entropy,,5,10
0.8474174062498259,0.9192545087976207,entropy,,5,15
0.8479029544327632,0.8979131412302797,entropy,,10,5
0.8477537146295399,0.8978592277151944,entropy,,10,10
0.8474550400294161,0.8979131420902542,entropy,,10,15
0.8486489584552043,0.8846546298778885,entropy,,15,5
0.8484623634347856,0.884638041315702,entropy,,15,10
0.8487982957552663,0.8846629246749661,entropy,,15,15
0.8519335155131398,0.8703924921097693,gini,10,5,5
0.8519335433693792,0.8703924915937847,gini,10,5,10
0.8518588468631089,0.8696252650888289,gini,10,5,15
0.8518214916459137,0.8687709448485069,gini,10,5,20
0.8527173204526083,0.8665107348471617,gini,10,10,5
0.8526800070197723,0.8665397651749777,gini,10,10,10
0.8524933562868748,0.8665148819877084,gini,10,10,15
0.8528292746792353,0.8665148819877084,gini,10,10,20
0.8489103753349714,0.8625128512854389,gini,10,15,5
0.8488357206130601,0.8625252927070786,gini,10,15,10
0.8489477026959269,0.8625128512854389,gini,10,15,15
0.8487983932521045,0.8625087041448923,gini,10,15,20
0.8479774559453572,0.860762750235007,gini,10,20,5
0.847902801223446,0.8607586030944603,gini,10,20,10
0.8479774559453572,0.8607586030944603,gini,10,20,15
0.847902801223446,0.8607586030944603,gini,10,20,20
0.8536506298295755,0.9017244044993751,gini,15,5,5
0.8538000228421163,0.9017658772807999,gini,15,5,10
0.8539493044296993,0.8985932889634244,gini,15,5,15
0.8521202776709954,0.8946161445443319,gini,15,5,20
0.8545834377942315,0.8871885473714215,gini,15,10,5
0.8546207372989476,0.8871678114966937,gini,15,10,10
0.8546207790833067,0.8871678113246986,gini,15,10,15
0.8549939691241442,0.8870931627948602,gini,15,10,20
0.8511872190001839,0.8779818098765293,gini,15,15,5
0.8512245881454987,0.877985957017076,gini,15,15,10
0.8513365145158863,0.8779776627359828,gini,15,15,15
0.8512992010830507,0.8779818098765293,gini,15,15,20
0.8471189823558578,0.8714997817316175,gini,15,20,5
0.8469323594791998,0.8715536955906924,gini,15,20,10
0.8470443554901863,0.8714997817316175,gini,15,20,15
0.8470816967792615,0.871524664574897,gini,15,20,20
0.8514485523112322,0.8649928647236053,entropy,10,5,5
0.8514485801674716,0.8650094536297812,entropy,10,5,10
0.8516351612597706,0.864632061432113,entropy,10,5,15
0.8513738140206024,0.8639311859079999,entropy,10,5,20
0.8510378956282418,0.8629317166085219,entropy,10,10,5
0.851261873722095,0.8629358637490684,entropy,10,10,10
0.851000582195406,0.8629317164365269,entropy,10,10,15
0.8512245045767802,0.8629358637490684,entropy,10,10,20
0.8474547057545421,0.8602567884246402,entropy,10,15,5
0.8474546918264222,0.8602277586128089,entropy,10,15,10
0.8474546918264221,0.8602609357371815,entropy,10,15,15
